丂乗乗搒撪朸強丅=　――都内某处。
丂偦偺拞怱偵堦嵺塮偊傞堦椫偺壴丅=　在其中心，一朵花儿格外引人注目。
丂敄搷怓傪偟偨壴偺拞怱偵丄彮彈偼敀偄巜傪攪傢偣偨乧丅=　少女将白皙的手指伸向那朵淡粉色花朵的中心……
丂偔偪傘乧丅=　咕啾…。
彮彈乽傫偭乧乿=少女「嗯…」
丂惷傑傝偐偊偭偨夛応偵悈壒偑嬁偒搉傞丅=　寂静的会场里回荡着水声。
丂扤偐偑乽偛偔傝乿偲懅傪撣傓壒偑丄傗偗偵惗乆偟偔暦偙偊傞傎偳丄偦偺応強偼惷傑傝曉偭偰偄偨丅=　有人「咕咚」一声吞咽的声音听起来格外真切，因为那里实在是太安静了。
彮彈乽乧偁乧乧偁偀乧乧乿=少女「…啊……啊啊……」
丂彮彈偺壺汎側恎懱偑墣傔偐偟偔攇懪偭偨丅=　少女娇小的身体妖艳地波动着。
丂敀偔嵶偄巜偑丄擕朳傪丄戁傪丄偦偟偰梒偄旈張傪攪偄夞傞丅=　纤细白皙的手指在乳房、大腿，以及幼嫩的私处游走。
丂彫偝側悈壒偲丄壜垽傜偟偄沢惡偑埫埮偵峀偑傞丅=　细微的水声和可爱的娇喘声在黑暗中扩散。
抝乽乧乧乧乧乧乧乧乧乿=男「……………………」
丂婥偑晅偔偲丄彮彈偺屻傠偵抝偑棫偭偰偄偨丅=　回过神来，少女身后站着一个男人。
丂彮彈偼抝偵婥偯偐側偄丅=　少女没有注意到男人。
丂帺暘傪堅傔傞偺偵柌拞偵側偭偰偄傞丅=　全神贯注地沉浸在自我抚慰中。
丂抝偼帺堅偵抆傞彮彈傪書偒偐偐偊丄帺暘偺曽偵岦偐偣偨丅=　男人抱起沉浸在自慰中的少女，将她转向自己。
彮彈乽偁乧乿=少女「啊…」
丂彮彈偼抝偺栆乆偟偔偦偦傝棫偭偨暔傪栚偵偡傞偲丄傑傞偱惙傝偺偮偄偨帗將偺傛偆偵怟傪怳偭偨丅=　少女看到男人那勃起的凶器后，像发情的母狗一样摇起了屁股。
丂抝偼枮懌偦偆側徫傒傪晜偐傋傞偲丄彮彈偺婄傪帺暘偺僌儘僥僗僋側暔傊偲摫偄偨丅=　男人露出满意的笑容，引导少女的脸靠近自己那狰狞的物什。
彮彈乽偼偀乕乧偼偀乕乧偼偀乕乧乿=少女「哈…哈…哈…」
丂彮彈偼旲偺墱傪柭傜偟側偑傜丄帺暘偺榬傎偳傕偁傞愒崟偄儁僯僗偵杍偢傝偟偨丅=　少女鼻腔深处发出声响，用脸颊蹭着那根和自己手臂一样粗的暗红色阴茎。
丂摰偼弫傒丄旈張偐傜偼帺慠偵垽塼偑堨傟弌偰偒偰偄偨丅=　眼眸湿润，私处不自觉地流出爱液。
丂彮彈偼乧傑傞偱巕將偱傕書偄偰偄傞偐偺傛偆偵乧垽偟偦偆偵儁僯僗傪垽晱偟偨丅=　少女…就像抱着小狗一样…爱怜地抚摸着阴茎。
丂撍慠丄彮彈払偺屻曽丄壗傕柍偄嬻娫偵婏柇側悢帤偑晜偐傃忋偑傞丅=　突然，少女们身后的空无一物的空间中浮现出奇怪的数字。
丂悢帤偼乽俆丆侽侽侽丆侽侽侽乿偲昞帵偝傟偰偄傞丅=　数字显示为「５，０００，０００」。
丂偦傟偑壗傪昞偡悢帤側偺偐傢偐傜側偄丅=　不知道这个数字代表什么。
丂偨偩丄彮彈偑堹傜側巇憪傪孞傝曉偡偨傃偵悢帤偼挼偹忋偑偭偰偄偔丅=　只是，每当少女重复淫荡的动作时，数字就会跳动上升。
彮彈乽傆傆傆偭乧乿=少女「呼呼呼…」
丂彮彈偺彫偝側岥偐傜壜垽傜偟偄愩偑弌偰偒偰丄儁僯僗傪彟傔夞偡乧丅=　少女小巧的嘴里伸出可爱的舌头，开始舔舐阴茎…
丂忋偐傜壓傊乧峊偊傔側悈壒傪棫偰側偑傜丄彮彈偼儁僯僗傪旤枴偟偦偆偵枴傢偭偰偄傞丅=　从上到下…伴随着轻微的水声，少女仿佛在品尝美味一般享受着阴茎。
抝乽乧乧乧乧偭乿=男「…………唔」
丂抝偼丄姶偠偰偄傞偺偐丄彮彈偺愨柇側岥堹偵東楳偝傟偰偄傞偺偐丄壗偐偵懴偊傞昞忣傊偲曄傢偭偰偄偨丅=　男人的表情变得像是在忍耐着什么，不知是因为感觉太好还是被少女绝妙的口交技巧所折服。
丂彮彈偼柍幾婥側徫傒傪晜偐傋丄儁僯僗偺愭偐傜弌偰偔傞摟柧偺塼傪鋜傔庢偭偨丅=　少女露出天真的笑容，舔掉从阴茎顶端渗出的透明液体。
彮彈乽偁傓乧乿=少女「啊呜…」
丂彮彈偼偦偺傑傑婽摢偺晹暘傪岥偵娷傒丄備偭偔傝偲儁僯僗傪撣傒崬傫偱偄偭偨乧丅=　少女就这样含住龟头部分，慢慢地将阴茎吞入口中…
彮彈乽傫偭乧傫偭乧傫偭乧乧傫傆偅偭乧乧乿=少女「嗯…嗯…嗯……嗯呼…」
丂偲偰傕崻尦傑偱偼撣傒崬傔側偄偑丄彮彈偼偦傟偱傕岮偺墱傑偱巊偭偰儁僯僗傪垽偟偨丅=　虽然无法完全吞到根部，但少女还是用尽喉咙深处来爱抚阴茎。
丂摦偒偵崌傢偣偰丄側偩傜偐側擕朳偑忋壓偡傞丅=　随着动作，柔软的乳房也跟着上下起伏。
丂偦傟偩偗偱傕抝偺忣梸傪慀傞偺偵偼廫暘偡偓傞傎偳偩偭偨丅=　仅仅是这样，就足以充分挑起男人的情欲。
丂偦偺娫傕悢帤偼忋偑傝懕偗偰偄偨丅=　在此期间，数字仍在不断上升。
丂偦偆丄悢帤偼偙偺彮彈偺偮偗傜傟偨抣抜偩偭偨丅=　没错，这个数字就是为这个少女标出的价格。
彮彈乽傫偭乧偁傆偭乧偁偁乧乧傫偁偭乧乧乿=少女「嗯…啊呜…啊啊……嗯啊……」
丂彮彈偼丄恖婥傾僀僪儖僌儖乕僾乽僥傿傾儔乿偺堦堳偩偭偨丅=　少女是人气偶像组合「皇冠」的一员。
丂抧枴側偑傜恖婥傕忋偑偭偰偒偨丄柧傞偄枹棃傕尒偊巒傔偰偒偨偦偺偲偒偩偭偨乗乗丅=　虽然不起眼，但人气也在逐渐上升，光明的未来也开始显现——就在那个时候。
丂彮彈偼偙偺嵜偟偺岓曗偵慖偽傟偰偟傑偭偨丅=　少女被选为了这个活动的候选人。
丂偦偺屻丄彮彈偼儊儞僶乕偵慖偽傟偨抝払偵丄崱偺崱傑偱庣傝捠偟偰偒偨張彈傪扗傢傟丄怱傪幐偆傑偱斊偝傟丄夁嫀偲枹棃傪幐偭偨丅=　之后，少女被选中的男人们夺走了一直守护至今的处女之身，被侵犯到失去理智，失去了过去和未来。
丂偦偺拞偵偼怣棅偟偒偭偰偄偨儅僱乕僕儍乕丄帠柋強偺幮挿丄僼傽儞僋儔僽夛挿傕娷傑傟偰偄偨丅=　其中还包括了完全信任的经纪人、事务所社长和粉丝俱乐部会长。
丂抝払偼彮彈傪側傝傆傝峔傢偢斊偟偨丅=　男人们肆无忌惮地侵犯了少女。
丂偦偟偰巚偄捠傝偵挷嫵偟偨丅=　然后按照自己的意愿调教了她。
丂偦偙偵偼朄傕拋彉傕丄恖娫傜偟偄怱偝偊傕懚嵼偟側偐偭偨丅=　在那里，法律、秩序，甚至人性都不复存在。
丂偩偑丄彮彈偵偲偭偰偦傟偑尰幚偱偁傝丄恀幚偩偭偨丅=　但对少女来说，这就是现实，就是真相。
丂扤偑丄偙偺曄傢傝壥偰偨彮彈偺巔傪梊憐偟偨偩傠偆丠=　谁能想到，这个少女会变成如此模样？
丂偙偙偱偺彮彈偵偼丄柤慜偡傜梌偊傜傟偰偄側偄丅=　在这里，连名字都没有被赋予这个少女。
丂夁嫀傕徚偝傟偨丅=　过去也被抹去了。
丂崱偙偙偵懚嵼偡傞尰幚偡傜傕偪傖傫偲姶偠偰偄傞偺偐夦偟偄傕偺偩丅=　甚至怀疑是否真正感受到了此刻存在的现实。
丂枹棃偼丄偙傟偐傜弌夛偆庡恖偵埾偹傜傟傞乧丅=　未来，将交托给即将相遇的主人．．．
丂彮彈偵慖戰尃偼柍偄丅=　少女没有选择权。
丂斵彈偵偲偭偰偙傟偑岾偣側偺偐偼偳偆偐偼傢偐傜側偄丅=　不知道这对她来说是否是幸福的。
丂悽娫堦斒揑偵偼偙傟偑晄岾側巔側偺偐傕偟傟側偄丅=　在世俗眼中，这或许是不幸的形态。
彮彈乽傫偭乧傫偭乧傫偁偭乧乧偍僠仜僠儞乧偍僠仜僠儞丄偍偄偟偄偺両丂傕偭偲偋乧傕偭偲偍僠仜僠儞丄傕偭偲婱曽偺偍僠仜僠儞偪傚偆偩偀偄偭両乿=少女「嗯．．．嗯．．．啊．．．肉棒．．．肉棒，好好吃！更多．．．更多肉棒，再给我更多你的肉棒！」
丂偩偑丄崱偺彮彈偺巔偼偲偰傕岾偣偦偆偵尒偊偨乧丅=　然而，此刻少女的样子看起来却非常幸福．．．
丂乧偦偟偰彮彈偼丄弶榁偺恆巑偵堷偒庢傜傟偰偄偭偨丅=　．．．于是少女被一位初老的绅士领走了。
丂傕偟偐偟偨傜丄彮彈偺岾偣偼偙偙偐傜巒傑傞偺偐傕偟傟側偄丅=　也许，少女的幸福从此刻开始。
丂愒偄寣傪幪偰丄埆杺偵嵃傪攧偭偨偙偺幰払偵書偐傟偰偄傟偽乧乧丅=　只要被这些抛弃了鲜红血液、将灵魂出卖给恶魔的人们拥抱……
巌夛幰乽偝偰丄奆條丅偍妝偟傒偺強丄惤偵嫲弅偱偼偛偞偄傑偡偑丄偙偙偱師夞偺僆乕僋僔儑儞岓曗幰傪偛徯夘偟傑偡乧乿=司会者「那么，各位。虽然正在兴致高涨之际，非常抱歉，在此为大家介绍下一场拍卖会的候选者…」
巌夛幰乽師夞偺岓曗幰偼乧儈僗屼塭妛墍亀恄嶈埁亁忟偵寛掕偄偨偟傑偟偨乧乿=司会者「下一位候选者是…御影学院的校花「神崎葵」小姐…」
巌夛幰乽師夞傕奆條偺偛婜懸偵揧偊傞傛偆丄惤怱惤堄傪恠偔偟傑偟偰乗乗乗乿=司会者「下次我们也将竭尽全力，以满足各位的期待―――」
丂巌夛幰偺惡偼抝払偺娊惡偵傛偭偰偐偒徚偝傟偨乧丅=　司会者的声音被男人们的欢呼声淹没了…
丂乗乗埁丅=　――葵。
丂偍慜偩偗偼偢偭偲懁偵偄偰偔傟傞偲巚偭偰偄偨丅=　一直以为你会永远陪在身边。
丂偳傫側偙偲偑偁傠偆偲傕丄偍慜偩偗偼壌偺懁偵乧=　无论发生什么，你都会在我身边…
丂壌偵偲偭偰乽埁乿偼偦傫側懚嵼丅=　对我来说「葵」就是这样的存在。
丂偳傫側傕偺偵傕戙偊擄偄丄偐偗偑偊偺側偄彈偺巕丅=　无可替代，无比珍贵的女孩。
丂乧乧偙傫側忬懺偵側偭偰偐傜婥偯偔側傫偰丅=　……直到现在这种状况才意识到。
丂壌偼攏幁偩丅戝攏幁栰榊偩丅=　我真是个笨蛋。大笨蛋。
丂廃傝偺忬嫷側傫偐娭學柍偄丅懠偺楢拞側傫偐娭學柍偄丅=　周围的情况根本无所谓。其他人也无所谓。
丂壌偑偨偩壈昦偩偭偨偩偗側傫偩乧丅=　只是我太胆小了而已…
丂斵彈偑側傫偲尵偍偆偑丄=　不管她说什么，
丂偨偲偊嫅傕偆偑丄=　即使她拒绝，
丂偁偺帪丄=　那个时候，
丂偁偺弖娫丄=　那一瞬间，
丂嫮堷偵偱傕丄=　哪怕用强，
丂乗乗壌偺暔偵偟偰偍偔傋偒偩偭偨傫偩丅=　――也该把她变成我的东西。
丂埁傕攏幁偩丅戝攏幁栰榊偩丅=　葵也是个笨蛋。大笨蛋。
丂埁傕壌偺尦傪棧傟側偗傟偽丄偁傫側偙偲偵偼乧=　如果葵没有离开我身边的话，就不会发生那种事…
丂乧乧側傫偱偙傫側偙偲偵丠=　……为什么会变成这样？
丂壌偼埁偲偁偺傑傑偢偭偲摨偠帪娫傪夁偛偟偨偐偭偨偩偗側偺偵乧乧丅=　明明我只是想和葵一直这样度过时光而已……
埁乽乗乗偍偭偼傛丄廐恖両乿=葵「――早上好啊，秋人！」
廐恖乽乧乧丠丂偁偁丄埁偐乧乧傆偀傢傢傢傢乣乿=秋人「……？ 啊，是葵啊……哈欠～」
埁乽亀偁偁丄埁偐乧乧傆偀傢傢傢傢乣亁偠傖側偄傛両丂偍擔條傕偆偁傫側偵崅偔徃偭偰傞傛両乿=葵「别「啊，是葵啊……哈欠～」的！太阳都已经升得那么高了！」
丂埁偺尦婥側惡偲偲傕偵挬傪寎偊傞丅=　伴随着葵充满活力的声音迎来了早晨。
丂壗偺帠偼柍偄丅偄偮傕偺挬偺晽宨丅=　没什么特别的。只是平常的早晨景象。
丂偟偐偟壌偼丄愭傎偳傑偱尒偰偄偨柌偺偣偄偱丄偄偮傕偲偼堘偆堘榓姶傪姶偠偰偄偨丅=　然而，由于刚才所做的梦，感到与平常不同的违和感。
埁乽乧乧乧偳偆偟偨偺丠丂僈儔偵傕側偔怺崗側婄偟偪傖偭偰丠丠乿=葵「………怎么了？ 一脸严肃，不像你啊？？」
廐恖乽側傫偱傕偹乕傛乿=秋人「没什么」
埁乽丠乿=葵「？」
丂埁偑婄偵乽丠乿儅乕僋傪晜偐傋偰偄傞丅=　葵的脸上浮现出「？」的表情。
丂偦偆偩傛側丅偙傫側偺壌傜偟偔側偄傕傫側丅=　是啊。这样确实不像平常的自己。
廐恖乽拝懼偊傞偐傜丄偍慜偼奜偱懸偭偰傠傛乿=秋人「我要换衣服了，你在外面等着」
埁乽偁乕側偀偵乣丠丂傢偨偟偵尒傜傟偰崲傞傛偆側傕偺偱傕偁傞偺丠丠乿=葵「啊～什么呀～？难道你有什么不想被我看到的东西吗？？」
廐恖乽僶丄僶僇両乿=秋人「笨、笨蛋！」
埁乽僼僼僼僢丄忕択傛丅偱傕丄憗偔崀傝偰棃側偝偄傛両丂侾侽暘埲撪偩偐傜偹両乿=葵「呵呵呵，开玩笑的啦。不过，快点下来哦！给你１０分钟时间！」
廐恖乽偁丄偁偁乧乿=秋人「啊，哦…」
丂埁偑弌偰偄偭偰偐傜傑偨彮偟峫偊傞丅=　葵离开后又稍微思考了一下。
丂偝偭偒傑偱尒偰偄偨柌偺帠傪乧乧=　关于刚才看到的梦……
廐恖乽乧乧乧乧乧乧乧乧乿=秋人「……………………」
丂偱傕丄巚偄弌偣側偐偭偨丅=　但是，想不起来了。
丂寵側柌偩偭偨偭偰帠埲奜偼乧乧=　除了那是个不愉快的梦之外……
埁乽僐儔乕廐恖両丂偄偮傑偱拝懼偊偰傫偺乕両乿=葵「喂～秋人！你到底要换到什么时候啊！」
丂奒壓偐傜埁偺搟柭傝惡偑暦偙偊偰偔傞丅=　楼下传来葵的怒吼声。
丂傑偩偍慜偑弌偰偄偭偰偐傜俁暘傕宱偭偰側偄偩傠丅=　你出去还没过３分钟吧。
丂偭偨偔丄偣偭偐偪側搝偩乧丅=　啧，真是个急性子啊…
丂僂僠偺偡偖椬偵廧傓乽恄嶈丂埁乮偐傫偞偒丂偁偍偄乯乿偼丄壌偲摨偠屼塭妛墍偵捠偆彈偺巕偩丅=　住在我家隔壁的「神崎 葵」是和我一样在御影学院上学的女孩子。
丂埁偲偼丄彫偝偄崰偐傜偢偭偲摨偠応強偱摨偠帪娫傪夁偛偟偰偒偨丅=　从小到大，一直和葵在同一个地方度过相同的时光。
丂備偊偵壌偲埁偼惗傑傟偰偐傜崱傑偱偺傎偲傫偳傪丄偢偭偲堦弿偵夁偛偟偰偒偨偲偄偭偰傕夁尵偱偼側偄丅=　可以说，从出生到现在，我和葵几乎一直在一起度过。
丂婥怱抦傟偁偭偨梒側偠傒丅=　彼此心意相通的青梅竹马。
丂偨傑偵傗傝偵偔偄帠傕偁傞偑丄杮婥偱憡庤傪憺偟傒崌偆帠偼傑偢柍偄丅=　虽然有时也会觉得难相处，但几乎不会真心憎恨对方。
丂埁偼壌偵偲偭偰偦傫側懚嵼偩丅=　葵对我来说就是这样的存在。
丂愄偐傜乽埁偼壜垽偄柡乿偲嬤強偱傕昡敾偩偭偨丅=　从小就在邻里间有「葵是个可爱的女孩」的评价。
丂偦傟偑傑偝偐儈僗妛墍偵慖偽傟偰偟傑偆偲偼乧丅=　没想到她竟然会被选为校花…
丂埁偑乽儈僗屼塭妛墍乿偵慖偽傟偨偺偼丄侾擭惗偺帪丄妛墍嵳偱偺帠偩丅=　葵被选为「御影学院校花」是在一年级时的学园祭上。
丂慡妛擭偺抝巕妛惗偺搳昜偱慖偽傟傞儈僗屼塭妛墍丅=　御影学院校花是由全校男生投票选出的。
丂擖妛偟偰敿擭偟偐宱偭偰偄側偄偵傕娭傢傜偢丄埁偼埑搢揑懡悢偺昜傪廤傔丄桪彑偟偨丅=　尽管入学才半年，葵却以压倒性多数的票数获得了胜利。
丂偦傟偩偗岓曗幰偺拞偱傕埁偺壜垽偝偼嵺棫偭偰偄偨偲偄偆帠偩傠偆丅=　这说明在候选人中葵的可爱程度尤为突出。
丂偐偔偄偆壌傕埁偵搳昜偟偰偄偨丅=　说起来我也给葵投了票。
丂偩偑丄偦傟偼媊棟搳昜偩丅梒側偠傒偲偟偰偺丅=　不过，那只是出于青梅竹马的情谊而已。
丂偦偺偲偒偼丄傑偝偐偁偺埁偑儈僗妛墍偵慖偽傟傞偲偼巚偭偰傕傒側偐偭偨偐傜側丅=　当时完全没想到那个葵居然会被选为校花。
丂傾僀僣偺偳偙偑偦傫側偵乧乧丅=　那家伙到底哪里那么……
丂傑偀丄偦偺曈偵揮偑偭偰傞傾僀僪儖偐傇傟傛傝偼丄妋偐偵償傿僕儏傾儖偼忋偩偲巚偆丅=　嘛，比起随处可见的那些偶像脑残粉，她的颜值确实要高出一筹。
丂僗僞僀儖傕尒偨栚偵偼偄偄曽偩偲巚偆乮拞恎偼彫偝偄偙傠埲棃尒偰側偄偟乯丅=　身材看起来也不错（内在的话从小时候起就没看过了）。
丂惈奿偼乧壌埲奜偺搝偵懳偟偰偼丄扤偵懳偟偰傕桪偟偔恖摉偨傝傕偄偄曽偩丅=　性格嘛…除了对我以外，对谁都很温柔，人缘也挺好的。
丂彫偝側幐攕傪偟偰傕偁傑傝偔傛偔傛偟側偄柧傞偄惈奿傕僂働偰偄傞偺偩傠偆丅=　她开朗的性格，即使犯了小错也不会过分自责，这一点也很受欢迎吧。
丂偪傚偭偲僆僩儃働側強偝偊傕丄庣偭偰偁偘偨偔側傞傛偆側乧乧僞僀僾偩偲丄抝巕妛惗偺娫偱偼塡偝傟偰偄傞丅=　甚至连她有点迷糊的地方，都让人想要保护她……这种类型，在男学生中间颇有传闻。
丂偁乕丄偁偲僥僯僗偩偗偼愄偐傜忋庤偐偭偨偭偗丅=　啊，对了，她从小就只有网球特别擅长。
丂偆乣傓丄懠恖偐傜尒傞偲偦傟側傝偵僀僀彈側偺偐側偀乧丠=　唔～从别人的角度来看，她算是个不错的女孩吗…？
丂傑丄壌傕側傫偩偐傫偩尵偄偮偮傕丄埁偺帠傪婥偵擖偭偰偼偄傞傫偩偗偳側丅=　嘛，虽然我嘴上说着这样那样的，但其实还是挺喜欢葵的。
丂僶儞僢両=　砰！
埁乽偙傜偀丄壗傗偭偰傞偺両丂偁乕丄傑偩僷僕儍儅偠傖側偄偺偭両両乿=葵「喂，你在干什么！啊，还没换上睡衣啊！！」
廐恖乽僎僢両丂偁丄埁僢両丠乿=秋人「呃！啊，葵！？」
埁乽偙偆側偭偨傜柍棟栴棟偵偱傕乧乧偭両乿=葵「这样的话就算用强的也要……！」
廐恖乽傗丄傗傔傠偙傜偭両丂埁両両乿=秋人「住，住手啊！葵！！」
丂寢嬊壌偼丄僷僕儍儅偺忋偵偦偺傑傑僈僋儔儞傪塇怐偭偰妛墍偵峴偔僴儊偵側偭偨乧乧丅=　结果还是不得不穿着睡衣外面套着学生服去学校了……
埁乽乧偊丄柌丠乿=葵「……诶，梦？」
廐恖乽偁偁乿=秋人「嗯」
埁乽偳傫側柌偩偭偨偺丠乿=葵「做了什么梦啊？」
廐恖乽偦傟偑傛偔巚偄偩偣側偄傫偩乿=秋人「就是想不太起来了」
埁乽側偵偦傟丠乿=葵「什么啊那是？」
廐恖乽偱傕丄傛偔偁傞偩傠丅偦偆偄偆帠乿=秋人「但是，这种事不是很常见吗？」
埁乽偆乕傫丄偦偆偹偉乧乧乿=葵「嗯，这个嘛……」
丂峫偊崬傓埁丅=　葵陷入了沉思。
丂戝偘偝側僕僃僗僠儍乕偼彫偝偄偙傠偐傜偺僋僙偩丅尒偰傞傇傫偵偼柺敀偄偺偱壌偼偁偊偰拲堄偟側偄丅=　夸张的肢体动作是从小就有的习惯。看起来挺有趣的，所以我故意不去提醒她。
丂帺慠偵弌傞傕偺偩偐傜丄埁帺恎傕捈偟傛偆偑側偄傛偆偩丅=　因为是自然而然的动作，葵自己似乎也无法改掉。
丂偩偐傜乧=　所以……
丂乗乗偛傫偭丅=　——咚。
埁乽偁偄偨偭両乿=葵「哎呀！」
丂偙傫側枱夋偺儚儞僔乕儞傒偨偄側偙偲傕擔忢拑斞帠偩丅=　这种仿佛漫画中的场景在日常生活中也是司空见惯的。
廐恖乽偼偭偼偭偼偭偼偭偼乕両乿=秋人「哈哈哈哈哈！」
埁乽乗乗傫傕偆偭両丂揹拰偁傞側傜偁傞偭偰嫵偊偰偔傟偰傕偄偄偠傖側偄両乿=葵「——真是的！有电线杆的话提醒我一下也不行吗！」
丂埁偼摢偺忋偐傜忲婥傪暚偒弌偟側偑傜搟偭偰偄傞丅=　葵头顶冒着蒸汽，气呼呼地说道。
丂憡曄傢傜偢姶忣昞尰偺朙偐側搝偩丅=　还是一如既往地表情丰富啊。
廐恖乽偄傗丄幾杺偟偪傖埆偄偲巚偭偰乧乧乿=秋人「不，我只是觉得打扰不太好……」
埁乽傫傕偋乕両乿=葵「唔嗯——！」
丂偱傕丄乽峫偊傞恖乿偺億乕僘偺傑傑曕偄偰偄偨埁偺曽偑埆偄偲巚偆傫偩偗偳乧乧=　不过，以「思考者」的姿势走路的葵才是有问题的吧……
丠乽壗傪偦傫側偵搟偭偰偄傞傫偩偄丄埁偔傫丠乿=？「葵君，你在为什么事这么生气啊？」
埁乽偊丠丂偁丄嶀栘愭攜乧乿=葵「诶？啊，冴木前辈…」
廐恖乽嶀栘愭攜丠乿=秋人「冴木前辈？」
丂壌払偺屻傠偵偼偄偮偺傑偵偐丄攚偺崅偄抝巕妛惗偑棫偭偰偄偨丅=　不知何时，一个高个子男学生站在了我们身后。
丂埁偺帠傪抦偭偰偄傞傛偆偩丅=　看来他认识葵。
丂傫丠丂偙偺恖偳偭偐偱乧乧丅=　嗯？这个人好像在哪见过……
埁乽偁丄廐恖丅偙偺恖偼偹乧乿=葵「啊，秋人。这位是……」
棳堦乽偄傗埁偔傫丄偙偙偼杔偑乧丅偊偭偲妋偐孨偼丄栰媴晹偺僄乕僗偺棃惒廐恖孨偩偭偨偹乿=流一「不，葵君，这里让我来……那个，你应该是棒球部的王牌投手来栖秋人君吧」
廐恖乽壌偺帠傪抦偭偰傞偺偐偄丠乿=秋人「你知道我的事吗？」
棳堦乽偁偁丄孨偑埁偔傫偺椬偵廧傫偱偄偰梒側偠傒偩偭偰偙偲傕偹丅傆偅傫丄孨偑埁偔傫偺乧乧偦偆偐乿=流一「啊，我也知道你住在葵君隔壁，是他的青梅竹马。嗯……原来你就是葵君的……这样啊」
丂嶀栘愭攜偼傑傞偱抣摜傒偡傞傛偆偵丄壌傪娽嬀墇偟偵尒偮傔偰偄傞丅=　冴木前辈仿佛在估量什么似的，透过眼镜注视着我。
丂偦偟偰椬偵偄傞埁偲尒斾傋偰丄彫偝偔乽傆偭乿偲旲偱徫偭偨乧乧傛偆側婥偑偟偨丅=　然后又看了看旁边的葵，好像轻轻地「哼」了一声……给人这种错觉。
丂幚嵺偼偦傫側慺怳傝偼尒偣側偐偭偨偑丄偦偆嶖妎偝偣傞偵偼廫暘側暤埻婥偩偭偨丅=　实际上他并没有表现出这样的举动，但那种氛围足以让人产生这样的错觉。
廐恖乽妋偐偵偦偆偩偗偳丄側傫偱偦偙傑偱乧乿=秋人「确实如此，但为什么你会知道得那么详细……」
棳堦乽妛惗夛挿傪傗偭偰傞偲丄偄傠偄傠忣曬偑擖偭偰偔傞傫偩傛丅偁偭偲丄帺屓徯夘偑傑偩偩偭偨偹丅杔偼僥僯僗晹偺晹挿傪傗偭偰偄傞亀嶀栘棳堦乮偝偊偒丂傝傘偆偄偪乯亁偩丅傛傠偟偔側丄棃惒孨乿=流一「当学生会长的话，各种信息都会传到耳朵里呢。啊，我还没自我介绍呢。我是网球部的部长「冴木流一」。请多指教，来栖君」
丂偦偆偄偭偰嶀栘愭攜偼寉偔僂傿儞僋偟偰偔傞丅=　说着，冴木前辈轻轻地眨了下眼。
丂乧乧乧偩偑丄抝偵僂傿儞僋偝傟偰傕偪偭偲傕婐偟偔側偐偭偨丅=　……但是，被男生眨眼一点也不觉得高兴。
