%line%,%seq%,%effect%,%music%,%bg%,%cg%,%ov%,%truename%,%name%,%voice%,%st0_name%,%st0_face%,%st1_name%,%st1_face%,%pageflag%,%text%
13600 ,,,,,,,弘明,弘明,,,,,,,「あっ……待って待って。すぐ開けるから」
13700 ,,,,,,,,,,,,,,,　俺は急いでカギを外し、玄関を開け放った。
14190 ,,<!ef_door_entrance_open>,,,,,,,,,,,,,
14199 ,,,,1101,,,,,,"mirai,uniform",5,"minato,uniform",85,,
14200 ,,,,,,,みらい,女の子,01mir110_004.wav,"mirai,uniform",5,"minato,uniform",85,,「んもう……お兄ちゃん、おそいっ」
14300 ,,,,,,,みなと,男の子,02min110_002.wav,mirai,5,"minato,uniform",85,,「お兄ちゃん……こんにちは」
14400 ,,,,,,,,,,mirai,5,"minato,uniform",85,,　玄関の前に立っているのは、小さな女の子と男の子。
14500 ,,,,,,,,,,mirai,5,"minato,uniform",85,,　ちょっと気が強そうな女の子が、姉のみらいちゃん。隣で慎ましやかに立っている男の子が、弟のみなと。
14600 ,,,,,,,,,,mirai,5,"minato,uniform",85,,　……あんまり似てないけど、二人は双子だ。
14800 ,,,,,,,弘明,弘明,,mirai,5,,,,「ごめんね、暑かった？」
14900 ,,,,,,,みらい,みらい,01mir110_005.wav,mirai,8,,,,「うん、すっごくあつかったよ……。お兄ちゃんが入れてくれなかったら、あたしたちとけちゃってたかも」
15000 ,,,,,,,弘明,弘明,,mirai,8,,,,「もう、＜大袈裟＝おおげさ＞だなあ……」
15100 ,,,,,,,,,,mirai,8,,,,　そうして苦笑する俺をよけるように、みらいちゃんが頭を左右に動かして部屋の中を覗きこむ。
15200 ,,,,,,,みらい,みらい,01mir110_006.wav,mirai,51,,,,「お兄ちゃん、ちゃんとそうじしてる？　ゴミもためてない？」
15300 ,,,,,,,弘明,弘明,,mirai,51,,,,「みらいちゃんが片付けてってくれるから、最近はあんまり散らかってないよ」
15400 ,,,,,,,みらい,みらい,01mir110_007.wav,mirai,17,,,,「ならいいけど。お兄ちゃん、ほっとくとそういうのぜんぜんやらないから」
15500 ,,,,,,,,,,mirai,17,,,,　そう言って、みらいちゃんは小さく息をつく。
15600 ,,,,,,,,,,mirai,17,,,,　まるで世話女房みたい……っていうか思いっきり世話女房だけど、俺のダレた生活を監督してくれる有り難い存在だ。
15700 ,,,,,,,弘明,弘明,,mirai,17,,,,「とにかく、二人とも入ってよ。部屋の中は、バッチリ冷えてるからさ」
15800 ,,,,,,,みらい,みらい,01mir110_008.wav,mirai,1,,,,「うん、入る入るっ！」
15900 ,,,,,,,,,,,,,,,　みらいちゃんは、俺の真横をすり抜けて部屋の中に入っていく。
16000 ,,,,,,,,,,,,,,,　みなとが、その後にゆっくりと続いた。
16200 ,,,,,,,みなと,みなと,02min110_003.wav,,,"minato,uniform",1,,「おじゃまします……」
16300 ,,,,1031,,,,,,,,,,,
16400 ,,<!ef_door_entrance_close>,,,,,,,,,,,,,　みなとは脱いだ靴を玄関の端っこに揃えると、誰に向けるともなしに小さくお辞儀をしながら部屋に上がる。
16500 ,,,,,,,,,,,,,,,　元気な姉のみらいちゃんとは対照的に、みなとは静かで行儀がいい。
16600 ,,,,,,,弘明,弘明,,,,,,,「いいんだぞ、みなと。そんな他人行儀にしなくて」
16700 ,,,,,,,みなと,みなと,02min110_004.wav,,,minato,0,,「あ、うん……でも……」
16800 ,,,,,,,みらい,みらい,01mir110_009.wav,mirai,14,minato,0,,「みなとは、いつもバカていねいにやりすぎなのよ」
16900 ,,,,,,,弘明,弘明,,mirai,14,minato,0,,「みらいちゃんは、自分の家みたいにリラックスしすぎ」
17000 ,,,,,,,みらい,みらい,01mir110_010.wav,mirai,5,minato,0,,「い、いいじゃないっ……あたしとお兄ちゃんは、別に他人じゃないんだしっ」
17100 ,,<!ef_door_living_open>,,,,,,,,blank,0,minato,0,,　みらいちゃんはそう言うと、一人で先にリビングへ入って扉をピシャリと閉める。
17200 ,,,,,,,,,,blank,0,minato,12,,　俺とみなとは、苦笑しながらその後を追った。
17400 ,,<!ef_timepass>,,1011,,,,,,,,,,,
17500 ,,,,,,,みらい,みらい,01mir110_011.wav,mirai,1,,,,「んっ、んくっ、んっ……ぷはぁっ。ふぅぅ～」
17600 ,,,,,,,,,,mirai,1,,,,　みらいちゃんはコップに注がれたスポーツドリンクを勢いよく飲み干して、幸せそうに笑う。
17700 ,,,,,,,弘明,弘明,,mirai,1,,,,「みらいちゃん……おかわり、いる？」
17800 ,,,,,,,みらい,みらい,01mir110_012.wav,mirai,0,,,,「いるー▼」
17900 ,,,,,,,弘明,弘明,,mirai,0,,,,「みなとは？」
18000 ,,,,,,,みなと,みなと,02min110_005.wav,minato,12,,,,「あ……ボク、まだのこってるから……」
18100 ,,,,,,,弘明,弘明,,minato,12,,,,「そっか。おかわりが欲しかったら、遠慮なく言うんだぞ」
18200 ,,,,,,,みなと,みなと,02min110_006.wav,minato,85,,,,「うん……ありがとう、お兄ちゃん」
18300 ,,,,,,,,,,minato,85,,,,　みなとは静かに微笑んで、それからコクコクと少しずつドリンクを飲み下した。
18400 ,,,,,,,みらい,みらい,01mir110_013.wav,mirai,17,,,,「おかわり、おっかわりー。まーだー？」
18500 ,,,,,,,弘明,弘明,,mirai,17,,,,「はいはい、ちょっと待って……」
18600 ,,,,,,,,,,mirai,17,,,,　俺はみらいちゃんのコップにおかわりのドリンクを注ぎながら、二人に尋ねる。
18700 ,,,,,,,弘明,弘明,,mirai,17,,,,「そういや、叔父さんは……パパは、忙しそう？」
18800 ,,,,,,,,,,mirai,17,,,,　みらいちゃんとみなとの父親は、俺にとって叔父に当たる。つまり、この可愛らしい二人は俺のイトコってことだ。
18900 ,,,,,,,みらい,みらい,01mir110_014.wav,mirai,4,,,,「うん……。パパ、さいきんあんまり家にいないかな」
19000 ,,,,,,,みなと,みなと,02min110_007.wav,mirai,4,minato,8,,「パパは日曜日も、お仕事だから……」
19100 ,,,,,,,,,,mirai,4,minato,8,,　叔父さんの仕事は、フランス料理のシェフ。修行のため、若くして単身フランスへ渡ったという剛の者だ。
19200 ,,,,,,,,,,mirai,4,minato,8,,　フランスでの１０年近い修行を経て、今は海岸そばにある超高級ホテルのフレンチレストランで、チーフ格のひとりとして腕を振るっている。
19300 ,,,,,,,,,,mirai,4,minato,8,,　ちなみに叔父さんの年齢は俺より一回りちょい上で、奥さんの＜彩夏＝あやか＞さん……すなわちみらいちゃんたちのママは、俺より２つか３つ年上ってぐらいだから、二人は結構な年の差カップルって訳だ。
19400 ,,,,,,,,,,mirai,4,minato,8,,　なんでも、フランスで知り合ってそのまま結婚したらしいけど……叔父さん、恥ずかしがって二人の出会いとかあんまり話してくれないんだよなあ。
19500 ,,,,,,,弘明,弘明,,mirai,4,minato,8,,「彩夏さんも、まだ用事が忙しそうなのかな？」
19600 ,,,,,,,みなと,みなと,02min110_008.wav,mirai,4,minato,5,,「うん……。ママも、夕方まで帰ってこないから……」
19601 ,,,,1011,,,みらい,みらい,01mir110_015.wav,mirai,85,minato,5,,「でも、もうすぐかたづきそうだって言ってたよ」
19800 ,,,,,,,弘明,弘明,,mirai,85,minato,5,,「そっか……」
19889 ,,<s_fade time=""1500"" param=""file=af/af013.af&range=-128"">,,1017,,#sep,,,,,,,,,
19890 ,,,,,,#sep,,,,,,,,,
19900 ,,,,,,#sep,,,,,,,,,　みらいちゃんとみなとのママ……彩夏さんから電話がかかってきたのは、１ヶ月ほど前のことだった。
20000 ,,,,,,#sep,,,,,,,,,　しばらく用事で家を空けざるを得なくなったらしく、放課後から彩夏さんが帰ってくる夕方までの数時間、みらいちゃんとみなとを預かってほしい……という話だった。
20100 ,,,,,,#sep,,,,,,,,,　みらいちゃんたちとは小さい頃からの見知った仲だったし、俺に断る理由なんてない。俺は、二人の来訪を快く受け入れたんだ。
20200 ,,,,,,#sep,,,,,,,,,　……そうして、午後になると二人の可愛いイトコが訪ねてくる日々が始まった。
20300 ,,,,,,#sep,,,,,,,,,　午後から日没前までの短い時間だったけど、３人で過ごした時間は本当に楽しかった。俺はなんとなく、それが永遠に続くような気分になってたけど……。
20389 ,,,,,,#sep,,,,,,,,,
20390 ,,<s_fade time=""1500"" param=""file=af/af013.af&range=128"">,,1011,,,,,,,,,,,
20400 ,,,,,,,みらい,みらい,01mir110_016.wav,mirai,8,minato,5,,「あたしたちも、もうあんまり来られなくなるかもしれないんだよ……？」
20500 ,,,,,,,弘明,弘明,,mirai,8,minato,5,,「えっ、そうなの！？」
20600 ,,,,,,,みらい,みらい,01mir110_017.wav,mirai,5,minato,5,,「あたし、委員会のしごとがふえてきて……かえりの時間、おそくなる日がありそうなの」
20700 ,,,,,,,みなと,みなと,02min110_009.wav,mirai,5,minato,14,,「うん……ボクも、クラブ活動があるから……。あと、ママもそろそろ用事が片付きそうって言ってたから、おうちにちょくせつ帰れるようになるかも……」
20800 ,,,,,,,弘明,弘明,,mirai,5,minato,14,,「そうか……」
20900 ,,,,,,,,,,,,,,,　俺は思わず、大きな息をついた。
21000 ,,,,,,,,,,,,,,,　彩夏さんからも、『しばらくの間』って話だったし……終わりがあるとはわかっていたことだけど、実際それが来た時の虚脱感は、予想以上に大きかった。
21100 ,,,,,,,みらい,みらい,01mir110_018.wav,mirai,8,minato,8,,「お兄ちゃん……さびしい？」
21200 ,,,,,,,弘明,弘明,,mirai,8,minato,8,,「えっ？　そりゃ、まぁ……ね。でもママがいるお＜家＝うち＞に帰れるのは、嬉しいことでしょ？」
21300 ,,,,,,,みなと,みなと,02min110_010.wav,mirai,8,minato,5,,「うん……」
21400 ,,,,,,,,,,mirai,8,minato,5,,　二人とも、複雑な表情でうなずく。
21500 ,,,,,,,弘明,弘明,,mirai,8,minato,5,,「ま、休みの日とかは遊びに来られるんだし。気にすることはないよ」
21600 ,,,,,,,みらい,みらい,01mir110_019.wav,mirai,3,minato,5,,「う、うん……そうだよね……」
21700 ,,,,,,,みなと,みなと,02min110_011.wav,mirai,3,minato,82,,「……………………」
21900 ,,,,,,,,,,mirai,3,minato,82,,　俺は、二人だけでなく、自分にも言い聞かせるように言葉を継いだ。
22000 ,,,,,,,弘明,弘明,,mirai,3,minato,82,,「ねっ。遠く離れる訳じゃ、ないんだからさ」
22200 ,,<!ef_timepass>,,1032,,,,,,,,,,,
22300 ,,,,,,,,,,,,,,,　そして、楽しい時間はあっという間に過ぎ……日没が近づくと、みらいちゃんたちはいつものように帰り支度を始めた。
22400 ,,,,,,,,,,,,,,,　これまで、毎日のように何度も見てきた光景。……だけど今日は、いままでとは全く意味合いが違っていた。
22500 ,,,,,,,,,,,,,,,　もう、これが最後になるかも知れないんだよな……。
22600 ,,,,,,,みらい,みらい,01mir110_020.wav,mirai,8,minato,5,,「じゃね……お兄ちゃん。ばいばい」
22700 ,,,,,,,みなと,みなと,02min110_012.wav,mirai,8,minato,5,,「またね……」
22800 ,,,,,,,弘明,弘明,,mirai,8,minato,5,,「ああ……またね」
22900 ,,,,,,,,,,,,,,,　俺は、虚ろな表情で手を振る。
23000 ,,,,,,,,,,,,,,,　次、会えるのはいつなんだろう。一週間先、二週間先……。それを思うと、もう、会えないんじゃないかという気さえしてくる。
23100 ,,,,,,,,,,,,,,,　その時、ふと思い立った。
23200 ,,,,,,,弘明,弘明,,,,,,,（あ……そうだ……）
23300 ,,,,,,,,,,,,,,,　俺は、とっさに腕を伸ばして……。
23800 ,$menu_begin,,,,,,,,,,,,,,
↓,"$menu_item 0,みらいちゃんを呼び止める,00op_mirai",,,,,,,,,,,,,,
↓,"$menu_item 1,みなとを呼び止める,00op_minato",,,,,,,,,,,,,,
↓,"$menu_item 2,二人を呼び止める,00op_halem,%halem",,,,,,,,,,,,,,
↓,$menu_end,,,,,,,,,,,,,,
23900 ,,,,,,,,,,,,,,,
24000 ,,,,,,,,,,,,,,,
24100 ,,,,,,,,,,,,,,,
24200 ,*00op_mirai,,,,,,,,,,,,,,
24300 ,,,,,,,,,,,,,,,　みなとが、先に玄関を出て行く。みらいちゃんは、まだ玄関口で靴を＜履＝は＞いているところだった。
24400 ,,,,,,,弘明,弘明,,,,,,,「あっ、待って…………みらいちゃん」
24500 ,,,,,,,,,,mirai,8,,,,　玄関を出て行こうとするみらいちゃんを、俺はこっそりと呼び止める。そして、少し小声で話しかけた。
24600 ,,,,,,,弘明,弘明,,mirai,8,,,,「みらいちゃん、もうホントに来られないの……？」
24700 ,,,,,,,みらい,みらい,01mir110_021.wav,mirai,3,,,,「うん……。ホントは、あたしもずっと来たいんだけど……」
24800 ,,,,,,,,,,mirai,3,,,,　みらいちゃんも小声で言うと、悲しげに視線を落とす。
24900 ,,,,,,,弘明,弘明,,mirai,3,,,,「ん………………」
25000 ,,,,,,,,,,mirai,3,,,,　俺は少し思案してから、みらいちゃんの耳元に顔を寄せて……みらいちゃんだけに聞こえるように、そっとささやいた。
25100 ,,,,,,,弘明,弘明,,mirai,3,,,,「えっと、それだったら……」
25200 ,,,,,,,弘明,弘明,,mirai,3,,,,「みなとに内緒で、これからも寄り道していいよ……」
25300 ,,,,,,,みらい,みらい,01mir110_022.wav,mirai,4,,,,「えっ……？」
25400 ,,,,,,,弘明,弘明,,mirai,4,,,,「俺……みらいちゃんと、まだまだ会いたいからさ……」
25600 ,,,,,,,みらい,みらい,01mir110_023.wav,mirai,85,,,,「あ…………」
25700 ,,,,,,,みらい,みらい,01mir110_024.wav,mirai,60,,,,「あ、あたしも……お兄ちゃんと……もっと……」
25900 ,,<voice_volume vol=""-600"">,,,,,みなと,みなと,02min110_013.wav,mirai,60,,,,「お姉ちゃん……？」
26000 ,,,,,,,,,,mirai,60,,,,　先に廊下に出ていたみなとが、みらいちゃんを呼ぶ。
26100 ,,,,,,,みらい,みらい,01mir110_025.wav,mirai,15,,,,「あっ、えっ、えっと……！　いま靴はいてるから、ちょっとまってっ！」
26200 ,,,,,,,,,,,,,,,　みらいちゃんは慌てて靴を履き揃え、玄関を出て行こうとする。
26300 ,,,,,,,弘明,弘明,,,,,,,「あっ…………」
26400 ,,,,,,,,,,mirai,85,,,,　思わず、俺はみらいちゃんを呼び止めようとしてしまう。みらいちゃんは玄関から駆け出ていく直前で、俺に振り返った。
26500 ,,,,,,,みらい,みらい,01mir110_026.wav,mirai,1,,,,「……ありがと。好きっ」
26600 ,,,,,,,,,,,,,,,　そして俺に軽くウインクをして、玄関を出ていったのだった。
26700 ,,,,,,,,,,,,,,,　俺はそのまま、玄関のカギを閉めることも忘れて……頬が火照るのを自覚しながら、長い間その場に立ちつくしていた。
26800 ,,<hide><!ef_daypass>,0,9000,,,,,,,,,,,
27000 ,$go 01mir000_op,,,,,,,,,,,,,,
27100 ,,,,,,,,,,,,,,,
27200 ,*00op_minato,,,,,,,,,,,,,,
27400 ,,,,,,,弘明,弘明,,,,,,,「なぁ、みなと……」
27500 ,,,,,,,みなと,みなと,02min110_014.wav,minato,0,,,,「えっ……？」
27600 ,,,,,,,,,,minato,0,,,,　玄関で靴をはくのに手間取っていたみなとが、ふと顔を上げる。
27700 ,,,,,,,,,,minato,0,,,,　俺はその耳元に近づき、そっとささやいた。
27800 ,,,,,,,弘明,弘明,,minato,0,,,,「みらいちゃんに内緒で、これからも寄り道していいぞ……？」
27900 ,,,,,,,みなと,みなと,02min110_015.wav,minato,2,,,,「えっ！？　お兄ちゃん……」
28000 ,,,,,,,,,,minato,2,,,,　みなとが、驚いたように顔を上げる。
28100 ,,,,,,,,,,minato,2,,,,　その時、外に出ていたみらいちゃんから声がかけられた。
28300 ,,<voice_volume vol=""-600"">,,,,,みらい,みらい,01mir110_027.wav,minato,2,,,,「ちょっと、みなと？　なにしてるのー？」
28400 ,,,,,,,みなと,みなと,02min110_016.wav,minato,15,,,,「わっ、わわっ……」
28500 ,,,,,,,,,,,,,,,　みなとは慌てて靴を履き、玄関を出て行こうとする。
28600 ,,,,,,,弘明,弘明,,,,,,,「あっ、みなと…………」
28700 ,,,,,,,,,,minato,85,,,,　思わず、俺は手を差し出していた。みなとは笑顔で振り返ると、小さな手で俺の人差し指をキュッと握る。
28800 ,,,,,,,,,,minato,85,,,,　そして、その握った指を通じて、気持ちを伝えるかのように……みなとはそっとささやいた。
28900 ,,,,,,,みなと,みなと,02min110_017.wav,minato,1,,,,「うん……お兄ちゃん……。また、来るね……」
29000 ,,,,,,,,,,,,,,,　それから恥ずかしそうに手を振って、みなとは玄関を出て行ったのだった。
29100 ,,<hide><!ef_daypass>,0,9000,,,,,,,,,,,
29400 ,$go 02min000_op,,,,,,,,,,,,,,
29500 ,,,,,,,,,,,,,,,
29600 ,*00op_halem,,,,,,,,,,,,,,
29800 ,,,,,,,弘明,弘明,,,,,,,「待って……二人とも」
29900 ,,,,,,,,,,,,,,,　俺はみらいちゃんとみなと、二人を追って廊下へと駆け出た。
30100 ,,<m_fade fadeout=""2000"" fadein=""1500"">,1,1102,,,,,,mirai,8,minato,5,,
30200 ,,,,,,,弘明,弘明,,mirai,8,minato,5,,「良かったら、俺の部屋にこれからも寄り道していいよ。いつでも、二人いっしょに……ね」
30300 ,,,,,,,みらい,みらい,01mir110_028.wav,mirai,2,minato,2,,「えっ……？」
30400 ,,,,,,,みなと,みなと,02min110_018.wav,mirai,2,minato,2,,「いいの……？」
30500 ,,,,,,,弘明,弘明,,mirai,2,minato,2,,「ああ。いつでも来ていいよ」
30600 ,,,,,,,,,,mirai,2,minato,2,,　俺が大きくうなずくと、二人は嬉しそうな笑顔を向ける。
30700 ,,,,,,,みらい,みらい,01mir110_029.wav,mirai,1,minato,2,,「うんっ……！」
30800 ,,,,,,,みなと,みなと,02min110_019.wav,mirai,1,minato,1,,「お兄ちゃん……」
30900 ,,,,,,,,,,mirai,1,minato,1,,　俺は二人の頭に手をやり、優しく撫でる。
31000 ,,,,,,,,,,,,,,,　この時は、俺も純粋な愛情から言っただけで……。まさかあんなことになるなんて、思ってもいなかったのだった。
31100 ,,<hide><!ef_daypass>,0,9000,,,,,,,,,,,
31300 ,$go 04h000_op,,,,,,,,,,,,,,
31400 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

